,UTCDateTime,Pressao (mB),Temperatura (°C),Umidade (%),ur_correnteMotor,UR_KWH,UR_KWh_TR,UR_TEMP_ENTRADA,UR_TEMP_SAIDA,ur_temp_entrada_condensacao,ur_temp_saida_condensacao,temp_externa,TR,delta_AG,delta_AC,FimDeSemana,HorarioComercial,VAG Predio,Ligados
785,2023-06-22 02:30:00,1016.2,20.35,64.0,25.899999618530273,48.0,0.4192569851875305,12.100000381469727,7.099999904632568,24.0,25.200000762939453,23.00832748413086,114.48825349571685,5.000000476837158,1.2000007629394531,0,0,23.356904150711166,58.333333333333336
786,2023-06-22 03:00:00,1016.1,20.2,64.0,31.200000762939453,59.0,0.3322243094444275,12.100000381469727,7.400000095367432,23.600000381469727,25.100000381469727,22.85926055908203,177.59085751029056,4.700000286102295,1.5,0,0,21.897398990061546,52.77777777777778
787,2023-06-22 03:30:00,1016.0,20.0,65.5,28.5,43.0,0.2592567503452301,11.600000381469727,7.300000190734863,22.799999237060547,24.200000762939453,22.85926055908203,165.85874791202377,4.300000190734863,1.4000015258789062,0,0,19.45285789337423,52.77777777777778
788,2023-06-22 04:00:00,1015.9,20.2,63.0,25.700000762939453,46.0,0.26840105652809143,11.399999618530273,7.300000190734863,22.600000381469727,23.700000762939453,22.85926055908203,171.3853164180281,4.09999942779541,1.1000003814697266,0,0,19.83192281093862,52.77777777777778
789,2023-06-22 04:30:00,1015.7,20.0,63.5,22.299999237060547,40.0,0.4355422258377075,11.0,7.300000190734863,22.5,23.5,22.710628509521484,91.83954534618388,3.6999998092651367,1.0,0,0,19.043819058272575,52.77777777777778
790,2023-06-22 05:00:00,1015.5,19.8,65.0,26.100000381469727,52.0,0.5571328401565552,11.699999809265137,7.5,26.100000381469727,27.299999237060547,22.561782836914062,93.3350114227478,4.199999809265137,1.1999988555908203,0,0,18.578174175487625,50.0
791,2023-06-22 05:30:00,1015.25,19.75,62.5,25.299999237060547,50.0,0.4968617558479309,11.300000190734863,7.400000095367432,25.700000762939453,26.799999237060547,22.561782836914062,100.63161314291808,3.9000000953674316,1.0999984741210938,0,0,18.39706468085448,50.0
792,2023-06-22 06:00:00,1015.0,19.7,62.0,33.599998474121094,66.0,0.5827196836471558,11.5,7.599999904632568,25.299999237060547,26.700000762939453,22.412586212158203,113.26200547562736,3.9000000953674316,1.4000015258789062,0,0,18.33009586897161,50.0
793,2023-06-22 06:30:00,1014.85,19.55,63.0,32.400001525878906,65.0,0.44576311111450195,10.899999618530273,7.199999809265137,25.200000762939453,26.5,22.26265525817871,145.81735989208767,3.6999998092651367,1.2999992370605469,0,0,17.25010787943999,47.22222222222222
794,2023-06-22 07:00:00,1014.7,19.3,65.0,26.700000762939453,51.0,0.41494274139404297,10.5,7.300000190734863,25.100000381469727,26.100000381469727,22.26265525817871,122.90852426689098,3.1999998092651367,1.0,0,0,16.98764151831468,47.22222222222222
795,2023-06-22 07:30:00,1014.8,19.25,67.0,23.899999618530273,48.0,0.6150907278060913,10.600000381469727,7.199999809265137,25.299999237060547,26.299999237060547,22.26265525817871,78.03726804857983,3.40000057220459,1.0,0,0,19.024655976229244,50.0
796,2023-06-22 08:00:00,1014.8,19.1,69.0,25.299999237060547,51.0,0.5836919546127319,10.699999809265137,7.300000190734863,25.600000381469727,26.700000762939453,22.11210060119629,87.37485517311522,3.3999996185302734,1.1000003814697266,0,1,19.04803417623043,50.0
797,2023-06-22 08:30:00,1014.5999999999999,19.1,66.5,36.599998474121094,73.0,0.7478713393211365,11.699999809265137,8.0,25.5,27.0,21.963233947753906,97.6103724823365,3.6999998092651367,1.5,0,1,20.026661109593178,52.77777777777778
798,2023-06-22 09:00:00,1014.6,19.1,63.0,27.700000762939453,57.0,0.33742380142211914,11.5,7.599999904632568,25.5,27.0,21.963233947753906,168.92702814610482,3.9000000953674316,1.5,0,1,25.50119750201702,69.44444444444444
799,2023-06-22 09:30:00,1015.0,19.4,59.5,39.20000076293945,80.0,0.40608683228492737,12.100000381469727,7.099999904632568,25.399999618530273,27.299999237060547,21.963233947753906,197.00220159778212,5.000000476837158,1.8999996185302734,0,1,30.19876986576451,75.0
800,2023-06-22 10:00:00,1015.4,19.5,61.0,42.099998474121094,88.0,0.43691912293434143,12.199999809265137,7.800000190734863,25.200000762939453,27.100000381469727,22.26178550720215,201.41027339108777,4.399999618530273,1.8999996185302734,0,1,32.002510499623085,77.77777777777777
801,2023-06-22 10:30:00,1015.75,19.85,60.5,30.600000381469727,59.0,0.3234025835990906,12.199999809265137,7.599999904632568,25.299999237060547,26.799999237060547,22.861934661865234,182.43515355814216,4.599999904632568,1.5,0,1,31.883506246738964,75.0
802,2023-06-22 11:00:00,1016.1,20.1,60.0,26.5,53.0,0.2699406147003174,12.699999809265137,7.0,25.700000762939453,27.299999237060547,23.460126876831055,196.33948029213585,5.699999809265137,1.5999984741210938,0,1,32.89763409727149,75.0
803,2023-06-22 11:30:00,1016.45,21.4,56.0,34.20000076293945,68.0,0.439923495054245,12.800000190734863,6.900000095367432,25.5,27.200000762939453,24.658580780029297,154.5723307904144,5.900000095367432,1.7000007629394531,0,1,34.129165743788086,77.77777777777777
804,2023-06-22 12:00:00,1016.8,22.7,50.0,44.099998474121094,87.0,0.5143016576766968,13.0,6.800000190734863,25.600000381469727,27.399999618530273,25.70606231689453,169.16142248697636,6.199999809265137,1.7999992370605469,0,1,35.3554654005501,77.77777777777777
805,2023-06-22 12:30:00,1016.8,23.85,47.0,30.0,57.0,0.3368513882160187,13.199999809265137,7.900000095367432,25.799999237060547,27.5,26.156700134277344,169.21408666852992,5.299999713897705,1.7000007629394531,0,1,37.62457784513632,80.55555555555556
806,2023-06-22 13:00:00,1016.7,23.8,50.0,37.79999923706055,75.0,0.3953951299190521,13.300000190734863,7.099999904632568,25.5,27.5,26.90850257873535,189.68367166119242,6.200000286102295,2.0,0,1,38.386990168028404,80.55555555555556
807,2023-06-22 13:30:00,1016.45,23.9,50.0,35.599998474121094,65.0,0.3314715623855591,13.5,7.400000095367432,25.299999237060547,27.399999618530273,27.359148025512695,196.09525333697766,6.099999904632568,2.1000003814697266,0,1,38.967060213287674,80.55555555555556
808,2023-06-22 14:00:00,1016.2,23.7,57.0,40.29999923706055,79.0,0.3881540894508362,13.600000381469727,7.300000190734863,25.700000762939453,27.700000762939453,27.507986068725586,203.5274189994234,6.300000190734863,2.0,0,1,38.97462237377962,80.55555555555556
809,2023-06-22 14:30:00,1015.85,23.85,56.5,54.20000076293945,114.0,0.4329841434955597,13.5,7.300000190734863,25.299999237060547,27.799999237060547,27.956031799316406,263.2890874008856,6.199999809265137,2.5,0,1,39.41323923236794,80.55555555555556
